Time,IRIP_X,IRIP_Y,IP_X,IP_Y,IP_Z,IRCP_X,IRCP_Y,CP_X,CP_Y,CP_Z,OE_A,OE_B,OE_G,TLV_X,TLV_Y,TLV_Z,TAV_X,TAV_Y,TAV_Z
21.07,351.3733549030223,186.0485173839173,3.6987662730223114,2.746646495753712,1.0,355.06900208255064,60.1678158252467,3.8428460850896937,7.654276186150226,1.120999754271912,8.357253335324894e-06,0.04417878607505605,-0.6913589593284243,0.08815054966559216,-0.07755602686563245,-0.13762018099583184,0.3433013591181492,0.4141757361757037,-0.013535827339537882
0.0,351.9402374998867,58.113136529547695,3.7208669590599097,7.734380642122897,1.0,355.11370756193173,60.207775764738884,3.8445889887692695,7.652718293772363,1.1170288911902047,2.387992684631191e-05,0.05976670390955851,-0.6917008965856845,0.09014244107612049,-0.08327416072706922,-0.25446835094909503,0.636549170989134,0.7558278252358935,-0.024128274403942704
0.0,351.9402374998867,58.113136529547695,3.7208669590599097,7.734380642122897,1.0,355.16429949135994,60.255821530100846,3.84656138367875,7.650845164518485,1.1107571632845037,3.981102857400847e-05,0.08453239775040271,-0.6924283681621393,0.10668061506371954,-0.10387227927789941,-0.3698355577947076,0.9288854463544866,1.1007135820605227,-0.04516325210198701
0.0,351.9402374998867,58.113136529547695,3.7208669590599097,7.734380642122897,1.0,355.2244327401368,60.31488993077722,3.848905759849389,7.648542302893675,1.102210161829143,4.738998334177125e-05,0.11851514600905375,-0.6935328180059784,0.1257093319021856,-0.1254381412506692,-0.48297643894286085,1.2269780213835078,1.4514411963047567,-0.062254653288280094
0.0,351.9402374998867,58.113136529547695,3.7208669590599097,7.734380642122897,1.0,355.2938733207928,60.38455240774794,3.8516129949626805,7.645826416851932,1.091428175662231,5.8056153058017874e-05,0.16182471404807222,-0.6949715431760909,0.14198688107456928,-0.14443134031203653,-0.5934536340772157,1.5300920019845907,1.808962600717672,-0.07974028349697493
0.0,351.9402374998867,58.113136529547695,3.7208669590599097,7.734380642122897,1.0,355.31688359464425,60.40832473068138,3.8525100816625435,7.644899620636203,1.0874437193973476,6.927635374643659e-06,0.17805452480568013,-0.6955561663456764,-0.00039772371243610273,0.0002764305281019263,0.0004543308077471309,0.0008119405383077132,-0.00043469609323712466,0.0006780652923046814
0.0,351.9402374998867,58.113136529547695,3.7208669590599097,7.734380642122897,1.0,355.31628523043724,60.40775816778091,3.8524867536232854,7.644921708858444,1.0874443395425772,2.7614483749489356e-07,0.17805977670212497,-0.6955532480850488,-0.001157324814179401,0.0009716322365465077,0.0016469793943939132,-0.011054065310824755,-0.013255846648668855,-1.0006226879557498e-05
0.0,351.9402374998867,58.113136529547695,3.7208669590599097,7.734380642122897,1.0,355.3157073934231,60.407223927244225,3.8524642258644493,7.644942536949543,1.0874406179798262,4.204990284835999e-06,0.17808731686396928,-0.6955479939104408,-0.0012725510340921625,0.0011566280120020134,-0.004644758396625589,0.019284461969719356,0.01750691976675678,-0.0004758399235542279
0.0,351.9402374998867,58.113136529547695,3.7208669590599097,7.734380642122897,1.0,355.31512761215447,60.406683593153836,3.8524416223062175,7.644963602606088,1.0874452222933102,1.447445868474751e-06,0.17806078592510452,-0.6955428414081293,-0.000606361206326468,0.0003669976710456978,0.0004896550886373228,0.0009235747585457904,-0.0003243559073987913,0.0010881776223224508
0.0,351.9402374998867,58.113136529547695,3.7208669590599097,7.734380642122897,1.0,355.31452682067595,60.40612959893775,3.852418199636489,7.64498520082114,1.0874444249018507,2.7314575558264113e-07,0.17805994240148557,-0.6955377849185078,-0.001119001253476426,0.0009612166391548778,0.001857061532939075,-0.010844018671051002,-0.012862887492175332,-2.742078871623248e-05
0.0,351.9402374998867,58.113136529547695,3.7208669590599097,7.734380642122897,1.0,355.31395489325996,60.40561434861882,3.852395902271344,7.6450052885528725,1.0874406440568385,4.060838541498636e-06,0.1780872990170855,-0.6955308848998434,-0.0013131253103666125,0.0010639310201425234,-0.004624033221192093,0.018948321027327533,0.018217099632098825,-3.467512648403592e-05
0.05,351.9402374998867,58.113136529547695,3.7208669590599097,7.734380642122897,1.0,355.313373990073,60.405081347116635,3.8523732549736076,7.645026068338533,1.0874452182081475,1.44958707175041e-06,0.1780607742432337,-0.6955249935470769,-0.0006000457006028361,0.0003687565999210021,0.0004952686641409126,0.0009230666859837235,-0.0002488598052086777,0.0010886982180369643
0.09,351.9402374998867,58.113136529547695,3.7208669590599097,7.734380642122897,1.0,355.31277208667603,60.40452823016539,3.852349788954232,7.6450476323522265,1.0874444176213633,2.408824767535157e-07,0.1780599289250899,-0.695519746804799,-0.0011173091147706664,0.0009609297509461367,0.0018657353762092763,-0.010836286188813288,-0.012845737341000451,-2.8270691606051934e-05
0.14,351.9402374998867,58.113136529547695,3.7208669590599097,7.734380642122897,1.0,355.3121993483007,60.404012647688546,3.8523274599727353,7.645067733033585,1.0874406380967314,4.033456317421533e-06,0.17808731488493829,-0.6955127095869709,-0.0013142208399482226,0.0010629737511929662,-0.004617455675730952,0.018969780507843124,0.018275198330101446,-1.662488469791224e-05
0.19,351.9402374998867,58.113136529547695,3.7208669590599097,7.734380642122897,1.0,355.31161827699844,60.40347810822287,3.852304806120797,7.645088572778835,1.0874452164205128,1.4178362988575755e-06,0.17806078906635397,-0.6955067797286029,-0.0005940426330753702,0.0003753122056063174,0.0004957486569860597,0.0009396875576431021,-0.0002495655843706533,0.001077243648109886
0.24,351.9402374998867,58.113136529547695,3.7208669590599097,7.734380642122897,1.0,355.31253280501636,60.404677902622346,3.852340460234556,7.6450417971687195,1.0873906954401618,2.1047437706479718e-05,0.1779373331063283,-0.6956044701048658,0.006556828657623176,-0.011098445575435333,-0.019966693846116688,-0.02686533080565686,-0.030199762017291756,-0.01732734092323237
