Time,IRIP_X,IRIP_Y,IP_X,IP_Y,IP_Z,IRCP_X,IRCP_Y,CP_X,CP_Y,CP_Z,OE_A,OE_B,OE_G,TLV_X,TLV_Y,TLV_Z,TAV_X,TAV_Y,TAV_Z
21.02,340.3495720383914,192.47271180578488,3.2689891632901116,2.496190572873884,1.0,284.8421696545828,471.60748403750256,1.1049578812702827,-8.386256687621932,1.1322714986242117,1.1151534765517383e-05,-7.1185260253851946e-06,0.4912867812576044,0.0014732893415708298,0.000639844588013476,-0.0004071340172949973,0.0014790188856821723,-0.000382485604745426,-0.00018593613798834998
0.0,280.5724065715735,473.7631192847082,0.9384953829073481,-8.47029704813677,1.0,284.8422800513907,471.6074320105654,1.1049621852394031,-8.386254659281303,1.1322709936214699,1.1132391682576875e-05,-6.906523022062386e-06,0.49128564918406226,-0.00021354446876342315,-0.000275266074135544,-0.00043511009084977513,0.0018103931961914058,-0.00023038540179071257,-0.00018686607784215421
0.0,280.5724065715735,473.7631192847082,0.9384953829073481,-8.47029704813677,1.0,284.842058651125,471.6075508745403,1.104953553650096,-8.386259293354401,1.1322709373869355,1.1143067488836036e-05,-6.88907123433436e-06,0.4912853316433367,-0.0003987256969228484,-0.00037396269884164567,-0.00044065781516639256,0.0018534956042065348,-0.00021100034273716691,-0.00017394595837541183
0.0,280.5724065715735,473.7631192847082,0.9384953829073481,-8.47029704813677,1.0,284.8418005514135,471.6076882598497,1.1049434912831773,-8.38626464950681,1.1322709313732617,1.1140340255813633e-05,-6.884275434695869e-06,0.49128518353662354,-0.0004197303158303751,-0.0003854169374566161,-0.0004423290743228633,0.0018627037779838074,-0.00021021161107167684,-0.00017186390312306612
0.0,280.5724065715735,473.7631192847082,0.9384953829073481,-8.47029704813677,1.0,284.841537917029,471.6078279545968,1.1049332521258848,-8.386270095695782,1.1322709309570516,1.1135089668673371e-05,-6.88067897316558e-06,0.4912850648071019,-0.00042278323811221444,-0.0003874130581433829,-0.00044336848685981546,0.0018676381367062971,-0.0002118984042760926,-0.0001714579464472222
0.0,280.5724065715735,473.7631192847082,0.9384953829073481,-8.47029704813677,1.0,284.8412743046757,471.60796819721514,1.1049229748411575,-8.386275563244256,1.1322709311667993,1.1129689442645882e-05,-6.877367631255656e-06,0.49128495558899965,-0.0004237999801108132,-0.0003883274649518858,-0.0004442688909395318,0.00187183964840209,-0.00021383723538511012,-0.00017128594640225412
0.01,280.5724065715735,473.7631192847082,0.9384953829073481,-8.47029704813677,1.0,284.84101014027823,471.6081087775336,1.1049126760342387,-8.386281043958423,1.1322709314376653,1.1124531379653048e-05,-6.874260653941905e-06,0.4912848529093215,-0.0004245432372522092,-0.00038907929826416875,-0.0004451059087152586,0.001875755419253492,-0.000215721747895513,-0.00017115131744489755
0.01,280.5724065715735,473.7631192847082,0.9384953829073481,-8.47029704813677,1.0,284.8407454992354,471.60824965552575,1.104902358644655,-8.38628653627781,1.1322709317043198,1.1119662758882241e-05,-6.871342371225951e-06,0.49128475607323613,-0.00042521483487514546,-0.0003897736658498896,-0.00044589314474945433,0.0018794532202062672,-0.00021751354590742922,-0.0001710277174946326
0.01,280.5724065715735,473.7631192847082,0.9384953829073481,-8.47029704813677,1.0,284.8404804153974,471.6083908110457,1.1048920239921025,-8.386292039416988,1.1322709319595459,1.1115076506660368e-05,-6.868601942428277e-06,0.4912846647054096,-0.00042584051093843395,-0.00039042483497592,-0.00044663490495259616,0.0018829521794557825,-0.00021921194059434715,-0.00017091135965353923
0.01,280.5724065715735,473.7631192847082,0.9384953829073481,-8.47029704813677,1.0,284.8402149163073,471.60853222710256,1.1048816731503817,-8.386297552713549,1.1322709322030602,1.1110757974895218e-05,-6.866029268595912e-06,0.4912845784889996,-0.00042642548195825035,-0.0003910365648232103,-0.0004473339912006125,0.0018862644813884256,-0.0002208213677496253,-0.00017080141919923115
