Time,IRIP_X,IRIP_Y,IP_X,IP_Y,IP_Z,IRCP_X,IRCP_Y,CP_X,CP_Y,CP_Z,OE_A,OE_B,OE_G,TLV_X,TLV_Y,TLV_Z,TAV_X,TAV_Y,TAV_Z
21.02,144.53326963052973,138.74849361087178,-4.365174673273695,4.590702003474785,1.0,194.073572978658,363.6902731637802,-2.4337788312414035,-4.178958018081102,0.2015714865822969,0.016955620107769902,0.19875653003826158,1.850916657275029,0.028271367833534435,0.06634084116173135,-0.031180010359831208,0.06558097063616422,0.03476247196516846,0.16957232403913244
0.0,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.0835285364246,363.6595355763174,-2.4333907003343227,-4.177759671591321,0.20129264157866092,0.017382855025438886,0.19819315295416765,1.853616820509451,0.013196837987768703,0.058530400665774904,-0.023755274112231335,0.04397992519347377,0.022876226350396035,0.10276177097025038
0.0,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.08659419974106,363.63165619465366,-2.4332711812966443,-4.176672756126848,0.2011209392379752,0.017688893746937003,0.19798691830292744,1.8551954357687312,0.001439800460601266,0.05445654731687321,-0.01871776771440148,0.028738899518325412,0.012883495892828195,0.056563509814718284
0.0,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.08873526918364,363.61575956131674,-2.433187708803757,-4.176053004339835,0.2010149042898399,0.01786819562767406,0.1978435425547061,1.8561357950391586,0.0056594793674665505,0.019090322951005705,-0.01641615838227734,0.03449910445090778,0.0050059502023288086,0.0376399742813128
0.0,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.09026238651597,363.6105363857023,-2.4331281720656537,-4.175849371762273,0.20097246904123753,0.017940104153169392,0.19776301434061677,1.8565943848324757,0.0012867657929302142,0.007438926169623967,-0.012594607272544056,0.027375070232983325,-0.00024099446040733922,0.009732743098483102
0.0,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.08945710755052,363.6084247586162,-2.4331595669570953,-4.175767047119541,0.20097132771147075,0.01794030705563684,0.19779532930518176,1.8565767315963368,-0.004195326731067242,0.004644681376028489,-0.010377545933694297,0.01832391281280717,-0.0040041662628290675,-0.012622035286310805
0.0,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.08844171933944,363.60683393039693,-2.4331991532421275,-4.175705026526194,0.2009736564094285,0.01793327971023495,0.19783240911373157,1.856498988203581,-0.003154031188451768,0.0038294785344239347,-0.010912085913188268,0.01782587284548981,-0.0024846421615600228,-0.01189912407809997
0.0,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.08813997468,363.6055827109098,-2.433210917166471,-4.1756562460393685,0.20097231732322182,0.017942263353940224,0.1978469529296221,1.8565064024884392,-0.0031517614575868732,0.003350502162272493,-0.010778069184827753,0.01800680667885679,-0.002583674442345234,-0.011468721415426751
0.0,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.08720186999238,363.6040966764301,-2.43324749044864,-4.175598310971936,0.20089990350767842,0.017660298993622113,0.19787171716650867,1.8564185268848274,-0.004855518504984762,0.004927697294937521,-0.012035204369074222,0.018594355060770562,-0.005645339130751589,-0.015551642917216542
0.0,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.08662765584592,363.6018130433143,-2.433269876965072,-4.175509280441103,0.200897972574215,0.017673956384401245,0.19790862188518032,1.8564145212913026,-0.003524179941396793,0.005409199710000199,-0.011450464516553892,0.018308928161908808,-0.003175413537250403,-0.011895015646275105
0.01,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.08594579538462,363.5994965025672,-2.4332964602189224,-4.175418966961683,0.20089216323495035,0.017672782697806495,0.19793522633735822,1.8564193372375222,-0.0036223320373310994,0.005472701527103649,-0.011512506238083751,0.018348881901904816,-0.003336165017147504,-0.011967661814871071
0.04,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.08526781839026,363.59715380397785,-2.433322892070555,-4.175327633683349,0.20088646142177585,0.017672852206346294,0.19796263621548238,1.8564238516857992,-0.0036552183287987964,0.005483616992305369,-0.011522666319156107,0.018383274570857894,-0.0033678548169175484,-0.011851802430408757
0.07,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.08458659938896,363.59480308036234,-2.4333494503162196,-4.175235987538493,0.20088073217516011,0.01767285896828893,0.19799012421237905,1.8564283882738843,-0.003683064527561601,0.005483908251720561,-0.011534422741465588,0.018418123312288825,-0.0033984033104595144,-0.011751112783719968
0.1,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.07430560152224,363.5581935293659,-2.4337502689465027,-4.173808714595163,0.20080678345633815,0.017728551581204552,0.19846746777848268,1.8564742710746411,-0.03575161164074919,0.11375036466810123,-0.01559761777167047,-0.014301458000086266,-0.012288500371749632,-0.00911846076417745
0.13,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.0569463332723,363.49253638028193,-2.4344270435371436,-4.1712489816874045,0.20004141039966924,0.015404914668215659,0.19935277345495805,1.856180998764398,-0.027144189885022298,0.13505855053026278,-0.0964851103529604,0.0537528887905539,-0.310676246082278,0.02970885852572042
0.16,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.04942401390414,363.4222331818485,-2.434720311348766,-4.168508116251404,0.19667460327195185,0.0038985649697872763,0.2000115338628516,1.8549078282482971,-0.0031923317446940908,0.1391658205929428,-0.233563107589159,0.19310716047173668,-0.7667622941545217,0.06993525869027278
0.18,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.03438916302522,363.33437999262003,-2.4353064653791328,-4.165083040647954,0.19851513793806388,0.014518686623669107,0.18838789801805822,1.858649193027551,-0.009080005975639847,0.14689926822529753,-0.13825136774291127,0.36636742518663695,0.18839509837526036,0.07982314615426564
0.21,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.02974788026464,363.26448721084915,-2.4354874120754526,-4.162358175861565,0.1943548399826523,0.01957147283869154,0.1781956200977602,1.8617544971747624,-0.008615733935194068,0.1262357115037336,-0.2710723227062303,0.46359230103912863,0.5587782773335349,0.13655465235270858
0.24,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.03209854406637,363.1863312481982,-2.435395768262519,-4.159311159773809,0.18815600714357622,0.020489526747864913,0.15550087123801304,1.8649130960940574,0.0054262792524565305,0.1470513950451361,-0.36272154671635537,1.2973305740780503,0.41299860468744254,0.17566009053709422
0.26,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.0394213771979,363.1158816069983,-2.435110277692089,-4.156564585068161,0.17973186069946753,0.020878247667458674,0.12366674873692182,1.8690614102694088,0.024873772138735418,0.1277176123733243,-0.473939004535287,1.7137054440374044,0.5463711419362406,0.23158637427051681
0.28,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.0521569691163,363.06279619139997,-2.4346137633872784,-4.15449497822222,0.17284333644465935,0.014464228655034647,0.09213147793281591,1.876244810313374,-0.009194479022028662,0.09489539211939928,-0.14179585228069325,1.257480974384007,-0.32327938917272786,0.5534861186191394
0.3,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.20326483101533,363.04779371013217,-2.428722618673866,-4.153910086164996,0.19201616066622168,-0.031205729140039995,0.12293979538926543,1.9163520485345766,-0.09327320761644128,0.12211969368601568,-0.07793670591436794,0.8668271039509702,-0.38531141861595447,0.4827825449913392
0.33,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.14028165042666,362.97429912675364,-2.4311781032972064,-4.1510448002633,0.1922445810375285,-0.04192619858299758,0.11387183483670664,1.9232375048415546,-0.13798436807766273,0.17068355926379958,-0.05131727079141231,0.6064742474497119,-0.3162332296676813,0.21569725778572538
0.35,189.64672544526576,365.8788840645281,-2.606365479716734,-4.264283979123902,1.0,194.070013547827,362.8797625439024,-2.433917600474581,-4.147359163504965,0.1913586361344282,-0.05090639327784732,0.10609641268327406,1.9261762955264288,-0.14029559291489224,0.2070081606804359,-0.04942585386633895,0.4786443756709952,-0.23420549230124277,0.08189730193853018
