Time,IRIP_X,IRIP_Y,IP_X,IP_Y,IP_Z,IRCP_X,IRCP_Y,CP_X,CP_Y,CP_Z,OE_A,OE_B,OE_G,TLV_X,TLV_Y,TLV_Z,TAV_X,TAV_Y,TAV_Z
21.04,81.80515673452008,113.63183380102421,-6.810715137055747,5.569909013605294,1.0,290.24795540798914,203.3681831068893,1.315709762494704,2.07141586327917,0.6827434524490343,0.10264995136469914,-0.05201757813434559,-2.358681330980777,-0.02021973660379036,-0.05020686462390411,-0.10745001061230866,0.4343568627735459,0.21917185256249058,0.10248947637429609
0.0,291.13645464803085,203.67135961340463,1.3503491090850233,2.0595961164364667,1.0,290.24621887649874,203.3643614878895,1.3156420614619402,2.0715648542733134,0.6825785525603859,0.10189674005362549,-0.05195131207060051,-2.3559378955784434,-0.0009411580774762226,-0.044954834330185926,-0.09798878276114373,0.46279436912640454,0.2246312159184931,0.09954032045926817
0.0,291.13645464803085,203.67135961340463,1.3503491090850233,2.0595961164364667,1.0,290.2512772382962,203.35884706562402,1.3158392685495592,2.0717798414961397,0.6823918163477046,0.10090975442055923,-0.051823721494389345,-2.353334198893812,0.007349318991895812,-0.03380312985530706,-0.10555519096605903,0.4846670463465274,0.17135150183205683,0.07424363894102332
0.0,291.13645464803085,203.67135961340463,1.3503491090850233,2.0595961164364667,1.0,290.26047187813344,203.352472861698,1.3161977340402895,2.0720283484718127,0.6823720525907072,0.09958866920935325,-0.05209561596466588,-2.3506280606218297,0.019361221064833144,-0.027449200513813304,-0.11924726708421526,0.4697731659289547,0.0901827754878186,0.05832411945025275
0.0,291.13645464803085,203.67135961340463,1.3503491090850233,2.0595961164364667,1.0,290.2714258061141,203.3447709754932,1.3166247877627317,2.0723286169398367,0.6823507853243015,0.09799818081584018,-0.05241803600413192,-2.3478718632479505,0.025385245676891988,-0.0341554261767163,-0.08528503119342365,0.4345540362134851,0.14867925298819196,0.09156266264395688
0.0,291.13645464803085,203.67135961340463,1.3503491090850233,2.0595961164364667,1.0,290.2835640968414,203.36555509208335,1.317098015471402,2.07151831999675,0.6803583941441054,0.08688124910011272,-0.048110783024836644,-2.345337543387267,0.034580303408103474,-0.0556598000421898,-0.10082270616459083,0.5958213129699149,0.3055215918893412,0.14801312644078965
0.0,291.13645464803085,203.67135961340463,1.3503491090850233,2.0595961164364667,1.0,290.29486077614706,203.35419383436698,1.3175384318185992,2.0719612540207795,0.6801627551166335,0.08594741802421779,-0.047968487851177376,-2.3427703022485167,0.028214017920403782,-0.05083869961733544,-0.10278238904455958,0.5927578558403218,0.29720564854409515,0.131201070736043
0.0,291.13645464803085,203.67135961340463,1.3503491090850233,2.0595961164364667,1.0,290.3149849314607,203.34481734264784,1.3183229992772199,2.072326809253495,0.6803320012860667,0.08788458502441279,-0.04882131182292366,-2.337157482924651,0.019769937510697208,-0.041664940794468114,-0.10337424784428409,0.5738167626798744,0.2704769063138996,0.10146660623588911
0.0,291.13645464803085,203.67135961340463,1.3503491090850233,2.0595961164364667,1.0,290.33188046431246,203.37250813064017,1.3189816945151076,2.071247246368805,0.6789745645973289,0.07727389220626187,-0.045875808841761186,-2.33374044537619,0.03234057864616409,-0.054926892685718015,-0.005039125402855722,0.013049991582718856,-0.002887387876228765,0.15654369249001546
0.0,291.13645464803085,203.67135961340463,1.3503491090850233,2.0595961164364667,1.0,290.338783565786,203.38698407412733,1.3192508212782061,2.0706828821002983,0.6789714507671549,0.07753577731718103,-0.04587696057750824,-2.3317821550924247,-0.0016346594518191334,-0.01017052649475609,-0.0040453493811806514,-0.005679351561850843,-0.022221874182724807,0.03691771712204599
0.02,291.13645464803085,203.67135961340463,1.3503491090850233,2.0595961164364667,1.0,290.33256291056813,203.38993239105048,1.3190083006069466,2.070567937970741,0.6789703842398582,0.07752336344277728,-0.0459297994265463,-2.3313971852295428,-0.02216499162165386,-0.015066617862870215,-0.007007468723654935,-0.02039619801737112,0.008152204201431394,0.03806783317965169
0.05,291.13645464803085,203.67135961340463,1.3503491090850233,2.0595961164364667,1.0,290.3123362416297,203.3993305961351,1.3182197365157777,2.070201536213057,0.6789397273176833,0.07758755955580295,-0.045985787536452064,-2.3301574673683874,-0.056698868334229116,-0.03247916510039386,-0.02068717603935397,-0.06501536561106488,0.0373987622390398,0.06440528487860847
