Time,IRIP_X,IRIP_Y,IP_X,IP_Y,IP_Z,IRCP_X,IRCP_Y,CP_X,CP_Y,CP_Z,OE_A,OE_B,OE_G,TLV_X,TLV_Y,TLV_Z,TAV_X,TAV_Y,TAV_Z
21.02,364.5906797761975,40.39981517766847,4.2140615897153015,8.424958472605518,1.0,281.756548407286,346.37896396436264,0.9846607566193385,-3.504053175998543,0.1335679990626377,-1.6126958973935086e-05,-0.0050486677451974365,2.026841222884004,-0.03108161193785047,0.010439731737393616,-0.0029542667361569562,-0.010423428794636072,-0.003899571471455405,-0.09313018608954804
0.0,279.1480037805934,347.2702154132867,0.8829631103545168,-3.538799821180767,1.0,281.7411415848778,346.3741193944912,0.9840601007749644,-3.5038643038788,0.13355977063846347,-1.6441979711938757e-05,-0.0050168028731815695,2.025176154900944,-0.026854420868247953,0.009584723159218678,-0.003230709472345292,-0.01101562331427,-0.0043314221943932885,-0.08227987692453403
0.0,279.1480037805934,347.2702154132867,0.8829631103545168,-3.538799821180767,1.0,281.7278055437812,346.3696668111477,0.9835401771454664,-3.5036907138849,0.1335525121984597,-1.9327721943330228e-05,-0.004989086838520936,2.0237412801753543,-0.022814787448705694,0.009027150185987706,-0.0032604088346583245,-0.011076686096129544,-0.004065837313406117,-0.07137846101154337
0.0,279.1480037805934,347.2702154132867,0.8829631103545168,-3.538799821180767,1.0,281.716437714986,346.3655978825164,0.9830969869390251,-3.5035320811897255,0.1335473020292829,-2.0413502823699404e-05,-0.004969327959164312,2.022526050294312,-0.018889236389654823,0.008249684123205361,-0.003517678550429945,-0.012155118863641111,-0.005014742549324049,-0.06068883273827572
0.0,279.1480037805934,347.2702154132867,0.8829631103545168,-3.538799821180767,1.0,281.7069551809739,346.362034647951,0.9827272975038549,-3.5033931636628073,0.13354491724197468,-2.024932253221452e-05,-0.0049613647629262745,2.021521187761187,-0.015304980518860983,0.007059475617504603,-0.004275402428285619,-0.014009433840917924,-0.0034180993052858643,-0.05098023756790853
0.0,279.1480037805934,347.2702154132867,0.8829631103545168,-3.538799821180767,1.0,281.69933660917593,346.3590464145097,0.9824302771608553,-3.5032766633337125,0.13354257985878962,-2.1207696477497388e-05,-0.004952672932768383,2.0207201929954217,-0.011688460485024482,0.0059473862616808235,-0.004201637525569109,-0.013775240461140715,-0.0029188768230678066,-0.04108144895215065
0.0,279.1480037805934,347.2702154132867,0.8829631103545168,-3.538799821180767,1.0,281.6935743918069,346.3566737780936,0.982205629310212,-3.5031841628886404,0.1335405739017046,-2.2430798126733723e-05,-0.004944766962077329,2.0201205477902886,-0.008032523615468797,0.004815496150844678,-0.003219047831932557,-0.01068605119081625,-0.003233499391147643,-0.031051236778500125
0.0,279.1480037805934,347.2702154132867,0.8829631103545168,-3.538799821180767,1.0,281.68967674774075,346.3550251937447,0.9820536743758573,-3.5031198905943386,0.13354006864347936,-2.0705975747757582e-05,-0.00494538514021507,2.0197186713039836,-0.004248719090256833,0.003215698549967733,-0.0049301836607614485,-0.015797086067001823,-0.004137776199917112,-0.02096444096983545
0.0,279.1480037805934,347.2702154132867,0.8829631103545168,-3.538799821180767,1.0,281.6877017228152,346.35409530656653,0.9819766753534168,-3.503083637682905,0.13353834459964253,-2.2973185616558573e-05,-0.004940572552748373,2.0195215923469467,-0.0003661997245075492,0.001978761582781584,-0.0041395827788768425,-0.013979591168697748,-0.006246900485766009,-0.010245281392783356
0.0,279.1480037805934,347.2702154132867,0.8829631103545168,-3.538799821180767,1.0,281.6874294501262,346.3539475837402,0.9819660604337699,-3.503077878508388,0.13353877193587002,-2.1790244045674785e-05,-0.004945195362034175,2.0194996280234214,0.001989014336617338,0.0002431193154172522,-0.005282974569756841,-0.017573495157670652,-0.006453840562997892,-0.00460386812425764
0.01,279.1480037805934,347.2702154132867,0.8829631103545168,-3.538799821180767,1.0,281.68759210696857,346.3543197300522,0.9819724018311319,-3.5030923871365403,0.13353717520729352,-2.4772969209483262e-05,-0.0049390013578010684,2.0195042514738826,0.001922585198301926,-4.8241394041902976e-05,-0.00357611332184626,-0.012141273236800294,-0.005108006159592017,-0.005620362843610685
0.03,279.1480037805934,347.2702154132867,0.8829631103545168,-3.538799821180767,1.0,281.6877873952351,346.354739078046,0.9819800154087762,-3.5031087359861997,0.13353498033987948,-2.6403201561589625e-05,-0.004931955161556711,2.0195074684128604,0.0020079307256740207,7.712491492082088e-05,-0.004274737705311362,-0.014454411485124987,-0.006758938855403364,-0.005639763982692106
0.05,279.1480037805934,347.2702154132867,0.8829631103545168,-3.538799821180767,1.0,281.68795568699664,346.35511416611257,0.9819865764910966,-3.5031233593026343,0.1335340883717349,-2.6533582483485028e-05,-0.004930658320543131,2.0195098066522856,0.0021660920927133254,6.853157272131442e-05,-0.0055531796886354266,-0.01836785148024183,-0.006883962172242111,-0.005137562384093264
0.07,279.1480037805934,347.2702154132867,0.8829631103545168,-3.538799821180767,1.0,281.68808079920746,346.3554111945512,0.9819914541601344,-3.503134939358722,0.13353420558553308,-2.918203598990123e-05,-0.004930095561329483,2.019512492123848,0.0019025030641797401,0.00023866630697390892,-0.004355242308509767,-0.013851896482038072,-0.0034177213017210625,-0.005619872887770384
0.09,279.1480037805934,347.2702154132867,0.8829631103545168,-3.538799821180767,1.0,281.6813476458779,346.3453081404163,0.9817289530556695,-3.5027410581058973,0.13354095034442526,-2.6611165051108343e-05,-0.004978327182748913,2.0204988208334296,-0.022609469073147988,0.03587064740128247,-0.00209871622735101,-0.006635846121843137,-0.00307360218929297,0.07213260894355462
