Time,IRIP_X,IRIP_Y,IP_X,IP_Y,IP_Z,IRCP_X,IRCP_Y,CP_X,CP_Y,CP_Z,OE_A,OE_B,OE_G,TLV_X,TLV_Y,TLV_Z,TAV_X,TAV_Y,TAV_Z
21.12,33.82725382743529,439.6500906507281,-8.681198681191606,-7.140354411334426,1.0,381.8083952163086,299.035386895469,4.885317552292733,-1.6582996840338797,1.1322764470820625,2.258016348860145e-06,1.1518026990342917e-07,2.5870583247926904,-0.039629202646851415,0.025160182251241944,3.052593075725463e-05,-0.00012726964249461193,5.093738527831134e-05,0.002010013493273307
0.0,386.31433684613904,301.8649467972233,5.060987791272478,-1.7686139102231309,1.0,381.79292088952764,299.02542686930343,4.884714264698932,-1.6579113789202102,1.1322764863524561,2.593241632271755e-06,1.520935365425914e-07,2.587106835199797,-0.02160300323394647,0.014228454968920789,2.6218492045682975e-05,8.050926937457291e-06,-5.797093004406321e-06,0.0028082047734099237
0.0,386.31433684613904,301.8649467972233,5.060987791272478,-1.7686139102231309,1.0,381.78654427025265,299.0210543774992,4.884465663557609,-1.6577409114034771,1.1322755527085313,2.201657835808618e-06,1.235892223615841e-06,2.587160037788616,-0.0052064106497095065,0.003434924622996205,-0.00014879782507509274,-8.353191565861856e-05,5.578040525718297e-05,0.00027899185550320883
0.0,386.31433684613904,301.8649467972233,5.060987791272478,-1.7686139102231309,1.0,381.7857150955777,299.02052246194563,4.884433337059559,-1.6577201739549947,1.1322730455510923,5.695976283521784e-06,6.099707335843368e-08,2.587157855612747,-0.0001918090221928405,0.00013017718951108167,-1.4661404366781772e-05,-5.222245904746702e-05,7.980259950499956e-05,4.286122205975727e-06
0.0,386.31433684613904,301.8649467972233,5.060987791272478,-1.7686139102231309,1.0,381.7856856216303,299.0205024225539,4.88443218797779,-1.657719392692159,1.1322728851176074,6.078003319420912e-06,-1.3895120640899101e-07,2.5871581024846306,-5.604691926726258e-05,3.5916197385277034e-05,2.0753277498502617e-05,-7.141195161784812e-06,1.609268660039843e-05,8.008277103153922e-06
0.0,386.31433684613904,301.8649467972233,5.060987791272478,-1.7686139102231309,1.0,381.7856544876778,299.0204830054986,4.88443097417847,-1.6577186356919529,1.1322728922341017,6.072751813389361e-06,-1.4172069878485905e-07,2.587158155210528,-7.4340785550828e-05,4.659201567432813e-05,2.0616828163843737e-05,-6.942439159142699e-06,1.4378282683518226e-05,1.5655527467052106e-06
0.0,386.31433684613904,301.8649467972233,5.060987791272478,-1.7686139102231309,1.0,381.7856199682679,299.0204616175914,4.8844296283925095,-1.6577178018554164,1.1322728930110326,6.071689962213206e-06,-1.410157097532602e-07,2.587158159091595,-7.537690653204361e-05,4.714767145899838e-05,2.047161720061555e-05,-7.078751277756409e-06,1.455360324550716e-05,9.932334121846012e-07
0.0,386.31433684613904,301.8649467972233,5.060987791272478,-1.7686139102231309,1.0,381.78558536808663,299.0204402000607,4.88442827945757,-1.6577169668639642,1.1322728929710544,6.0718020893075216e-06,-1.4098840707009628e-07,2.587158159325148,-7.532598729928023e-05,4.710076185079646e-05,2.0468091558876354e-05,-7.075884320672745e-06,1.456138598533737e-05,9.516526133103368e-07
0.0,386.31433684613904,301.8649467972233,5.060987791272478,-1.7686139102231309,1.0,381.7855507807977,299.02041879392874,4.884426931025249,-1.65771613231691,1.1322728929402561,6.0718504497193e-06,-1.4099824235403013e-07,2.587158159223463,-7.531889273736006e-05,4.7094133757581623e-05,2.046788979499975e-05,-7.074993131994867e-06,1.4561013477296087e-05,9.45203105222313e-07
0.0,386.31433684613904,301.8649467972233,5.060987791272478,-1.7686139102231309,1.0,381.78551619467703,299.0203973890094,4.88442558263848,-1.6577152978171306,1.1322728929139105,6.071880972705806e-06,-1.4100721608293639e-07,2.5871581590655053,-7.531809558894183e-05,4.7093393145002445e-05,2.0467116714192878e-05,-7.07577447612146e-06,1.4561646668492643e-05,9.438854455501569e-07
0.02,386.31433684613904,301.8649467972233,5.060987791272478,-1.7686139102231309,1.0,381.7854816088669,299.0203759843509,4.884424234263818,-1.6577144633275207,1.1322728928877837,6.0719096475194084e-06,-1.4101614444088567e-07,2.5871581588985006,-7.531740182518928e-05,4.70929889702626e-05,2.0466300900953097e-05,-7.076745429102591e-06,1.4562418307311665e-05,9.43470586688501e-07
0.04,386.31433684613904,301.8649467972233,5.060987791272478,-1.7686139102231309,1.0,381.78544702336796,299.0203545798959,4.8844228859012855,-1.657713628845846,1.1322728928616634,6.07193811386559e-06,-1.4102509422622773e-07,2.5871581587302073,-7.531670053635303e-05,4.7092617925443936e-05,2.046548420859562e-05,-7.077736167018806e-06,1.4563200779832875e-05,9.431892352942575e-07
0.06,386.31433684613904,301.8649467972233,5.060987791272478,-1.7686139102231309,1.0,381.7854124381804,299.02033317563667,4.884421537550894,-1.6577127943718,1.1322728928355446,6.0719665487178204e-06,-1.4103404770688052e-07,2.5871581585617367,-7.53160006696491e-05,4.7092253089512824e-05,2.046466748242736e-05,-7.078729736337525e-06,1.4563984480663385e-05,9.429264245866839e-07
